"데이터직무별(1)",2021,2021,2021,2021,2021,2021,2021,2021
"데이터직무별(1)",전체,전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업,데이터 구축 및 컨설팅 서비스업,데이터 판매 및 제공 서비스업,데이터 판매 및 제공 서비스업
"데이터직무별(1)",차년도 필요 인력 (명),향후 5년 내 필요 인력 (명),차년도 필요 인력 (명),향후 5년 내 필요 인력 (명),차년도 필요 인력 (명),향후 5년 내 필요 인력 (명),차년도 필요 인력 (명),향후 5년 내 필요 인력 (명)
"전체",7731,16984,2067,4615,3104,5239,2559,7130
"데이터 아키텍트",140,446,73,210,43,77,24,159
"데이터 개발자",4201,8035,1197,2294,1746,2772,1258,2969
"데이터 엔지니어",1021,2131,274,685,487,771,259,675
"데이터 분석가",596,1744,123,381,237,561,236,802
"데이터베이스 관리자",392,825,76,184,75,169,241,472
"데이터 과학자",483,1738,111,425,196,435,177,878
"데이터 컨설턴트",474,1062,146,287,180,224,148,551
"데이터 기획자",424,1004,67,149,141,230,216,625
